,region_canopy_pct
2015,44.11246045746309
2016,44.437344466287264
2017,44.190204791321186
2018,43.90415730594156
2019,43.712632884953635
2020,43.65555932869936
2021,43.47172254052552
2022,43.46744267642202
2023,43.50156924186924
